site,longitude,latitude,elevation
debb007,13.526796,51.462734,89
debb021,13.059945,52.401352,31
debb048,12.809481,52.93189,43
debb053,14.015252,52.563835,88
debb055,12.552303,52.420442,33
debb063,11.73846,52.99875,22
debb064,14.33447,51.746848,75
debb065,12.561389,52.194225,111
debb066,14.057064,51.897598,52
debb067,12.885194,52.608609,31
debb083,14.3764,51.5645,99
debb086,13.424304,52.349703,43
debb092,14.52596,52.33468,74
debe010,13.349326,52.543041,35
debe032,13.225144,52.473192,50
debe034,13.430844,52.489451,35
debe051,13.483079,52.644169,60
debe056,13.64705,52.447697,35
debe068,13.418833,52.513606,35
debw004,8.40666,49.07655,109
debw009,8.6767,49.419528,112
debw010,8.700103,49.300731,162
debw013,9.229745,48.8088,235
debw015,9.224786,49.165508,157
debw019,9.979031,48.396836,481
debw023,7.633271,47.588152,275
debw024,9.172792,48.899233,302
debw027,9.20732,48.488887,385
debw029,10.096292,48.847917,424
debw031,7.764528,47.809892,904
debw033,8.665536,48.889039,278
debw038,9.485675,47.660056,404
debw039,8.463597,48.048656,700
debw042,9.227769,48.678069,370
debw046,9.800325,48.089886,534
debw052,9.169289,47.664361,403
debw059,9.657919,49.634841,177
debw073,7.567969,47.819019,223
debw076,8.220214,48.773072,148
debw081,8.355628,49.028594,114
debw084,7.832122,48.001511,262
debw087,9.207639,48.345778,798
debw107,9.051178,48.507703,325
debw112,8.904442,48.645608,466
deby007,10.88837,48.376576,477
deby009,10.887686,49.89833,231
deby012,12.829314,48.177175,420
deby032,11.442591,50.103135,303
deby039,11.554669,48.154534,521
deby052,10.008293,48.397079,470
deby068,10.232076,50.048397,231
deby072,12.548869,49.438464,755
deby077,9.95642,49.804695,226
deby088,12.538174,48.021657,488
deby089,11.648036,48.173194,513
deby093,11.786341,49.487983,393
deby099,10.903051,48.326013,495
deby109,11.220172,47.968753,700
deby118,13.422039,48.573629,300
deby122,10.404232,47.518013,1169
deby188,11.02792,49.32273,344
dehb001,8.81578,53.077151,10
dehb002,8.916966,53.060045,7
